Date,FertilityRate
1960,2.90170251274482
1961,2.93858674417071
1962,2.97530385579306
1963,3.01126559290952
1964,3.04667455114744
1965,3.08119312671521
1966,3.117354643261
1967,3.15339510511087
1968,3.18491467344013
1969,3.21111580853282
1970,3.23499469451026
1971,3.25119966070548
1972,3.2707903842833
1973,3.30969300416215
1974,3.37193582916501
1975,3.4444532404345
1976,3.51352764910706
1977,3.5627664588637
1978,3.58520353167425
1979,3.57605024978914
1980,3.54417352379327
1981,3.52029992158382
1982,3.49779608406234
1983,3.44547696102527
1984,3.35945422023069
1985,3.26076527465568
1986,3.12878457647103
1987,3.02530942715076
1988,3.0335852833055
1989,3.17845933185652
1990,3.39218161340522
1991,3.63594102560436
1992,3.79361881483834
1993,3.77309583765625
1994,3.53951668109915
1995,3.18293313825257
1996,2.79509099944646
1997,2.48739028613223
1998,2.30722134198328
1999,2.29431580810002
2000,2.38972363509063
2001,2.51653177004789
2002,2.59463766078474
2003,2.603166437777
2004,2.51730246708586
2005,2.37521386341344
2006,2.2238963979219
2007,2.11454532139033
2008,2.06319520900434
2009,2.08734059484114
2010,2.16169776110491
2011,2.24686428837662
2012,2.31293852304033
2013,2.36069365034849
2014,2.38118455988502
2015,2.38246909564974
2020,2.18898779
2025,2.08731751
2015,2.38246909564974
2016,2.360643411714347
2017,2.326697070995013
2018,2.283973100008175
2019,2.247834488304986
2020,2.2204390314591955
2021,2.210334136982842
2022,2.210928891272994
2023,2.221929328373896
2024,2.2314368131118885
2025,2.2376315779701508
2015,2.38246909564974
2016,2.42764521
2017,2.45574188
2018,2.52407408
2019,2.58693814
2020,2.63647437
2021,2.67241144
2022,2.69709349
2023,2.71342707
2024,2.72397017
2025,2.7306664
