Date,FertilityRate
1960,1.27300219460597
1961,1.41870092375594
1962,1.5738342162106
1963,1.71661838207811
1964,1.83282014582467
1965,1.92650297582314
1966,2.02402175675297
1967,2.11938475628844
1968,2.18259703642233
1969,2.20561373925127
1970,2.20264535258591
1971,2.19481172873528
1972,2.19606207199919
1973,2.20364521332986
1974,2.22123436038401
1975,2.24912067879098
1976,2.26206818102751
1977,2.27781507377216
1978,2.33771665007479
1979,2.45199057672627
1980,2.59220890044964
1981,2.73933932038665
1982,2.84584629398664
1983,2.87521265821087
1984,2.8106757119212
1985,2.68441663734108
1986,2.53363959438638
1987,2.40108732672784
1988,2.3029584292619
1989,2.25444283316044
1990,2.23379500171868
1991,2.22089198924381
1992,2.18024019284928
1993,2.0895839589272
1994,1.93572715343878
1995,1.74187057170367
1996,1.54670374852414
1997,1.37463217129798
1998,1.22058033645906
1999,1.09247018233778
2000,0.989028438601784
2001,0.887913997027206
2002,0.800257624104069
2003,0.760981098882481
2004,0.780902005563652
2005,0.843749039849751
2006,0.922768875734342
2007,0.994932484158652
2008,1.05527922652734
2009,1.09415846198995
2010,1.11614722142513
2011,1.13578848003163
2012,1.1567037617795
2013,1.16789310016067
2014,1.16751285301122
2015,1.15761391416638
2020,0.77878304
2025,0.54981644
2015,1.15761391416638
2016,1.149952957369702
2017,1.1428787390110204
2018,1.1372193640070365
2019,1.1326918637502184
2020,1.129069863341859
2021,1.1261722628528477
2022,1.1238541823317796
2023,1.121999717811038
2024,1.1205161461113347
2025,1.1193292886850843
2015,1.15761391416638
2016,1.28913188
2017,1.28542757
2018,1.2363205
2019,1.20621085
2020,1.18917942
2021,1.17956197
2022,1.17417204
2023,1.17116892
2024,1.16950178
2025,1.16857862
